MemoryType;BlockSize;ElementType;BufferSize;LaunchNum;Timer;WriteTime;AverageWriteTime;WriteBandwidth;AbsError(write);RelError(write)
RAM;64;int;16;1;now(), lib chrono;0;0;inf;4,49E-05;0,02%
RAM;64;int;16;2;now(), lib chrono;0;0;inf;4,49E-05;0,02%
RAM;64;int;16;3;now(), lib chrono;0;0;inf;4,49E-05;0,02%
RAM;64;int;16;4;now(), lib chrono;0;0;inf;4,49E-05;0,02%
RAM;64;int;16;5;now(), lib chrono;0;0;inf;4,49E-05;0,02%
RAM;64;int;16;6;now(), lib chrono;0;0;inf;4,49E-05;0,02%
RAM;64;int;16;7;now(), lib chrono;0;0;inf;4,49E-05;0,02%
RAM;64;int;16;8;now(), lib chrono;0;0;inf;4,49E-05;0,02%
RAM;64;int;16;9;now(), lib chrono;0;0;inf;4,49E-05;0,02%
RAM;64;int;16;10;now(), lib chrono;0;0;inf;4,49E-05;0,02%
MemoryType;BlockSize;ElementType;BufferSize;LaunchNum;Timer;WriteTime;AverageWriteTime;WriteBandwidth;AbsError(write);RelError(write)
RAM;393216;int;98304;1;now(), lib chrono;0,000631;0,0006421;6,12E+14;0,006385118;0,13%
RAM;393216;int;98304;2;now(), lib chrono;0,000672;0,0006421;6,12E+14;0,006385118;0,13%
RAM;393216;int;98304;3;now(), lib chrono;0,000618;0,0006421;6,12E+14;0,006385118;0,13%
RAM;393216;int;98304;4;now(), lib chrono;0,000637;0,0006421;6,12E+14;0,006385118;0,13%
RAM;393216;int;98304;5;now(), lib chrono;0,000674;0,0006421;6,12E+14;0,006385118;0,13%
RAM;393216;int;98304;6;now(), lib chrono;0,000619;0,0006421;6,12E+14;0,006385118;0,13%
RAM;393216;int;98304;7;now(), lib chrono;0,000682;0,0006421;6,12E+14;0,006385118;0,13%
RAM;393216;int;98304;8;now(), lib chrono;0,000618;0,0006421;6,12E+14;0,006385118;0,13%
RAM;393216;int;98304;9;now(), lib chrono;0,000635;0,0006421;6,12E+14;0,006385118;0,13%
RAM;393216;int;98304;10;now(), lib chrono;0,000635;0,0006421;6,12E+14;0,006385118;0,13%
MemoryType;BlockSize;ElementType;BufferSize;LaunchNum;Timer;WriteTime;AverageWriteTime;WriteBandwidth;AbsError(write);RelError(write)
RAM;2097152;int;524288;1;now(), lib chrono;0,003383;0,0034981;6,00E+14;0,034951118;0,73%
RAM;2097152;int;524288;2;now(), lib chrono;0,003437;0,0034981;6,00E+14;0,034951118;0,73%
RAM;2097152;int;524288;3;now(), lib chrono;0,003439;0,0034981;6,00E+14;0,034951118;0,73%
RAM;2097152;int;524288;4;now(), lib chrono;0,00341;0,0034981;6,00E+14;0,034951118;0,73%
RAM;2097152;int;524288;5;now(), lib chrono;0,003819;0,0034981;6,00E+14;0,034951118;0,73%
RAM;2097152;int;524288;6;now(), lib chrono;0,003488;0,0034981;6,00E+14;0,034951118;0,73%
RAM;2097152;int;524288;7;now(), lib chrono;0,003431;0,0034981;6,00E+14;0,034951118;0,73%
RAM;2097152;int;524288;8;now(), lib chrono;0,003388;0,0034981;6,00E+14;0,034951118;0,73%
RAM;2097152;int;524288;9;now(), lib chrono;0,003581;0,0034981;6,00E+14;0,034951118;0,73%
RAM;2097152;int;524288;10;now(), lib chrono;0,003605;0,0034981;6,00E+14;0,034951118;0,73%
MemoryType;BlockSize;ElementType;BufferSize;LaunchNum;Timer;WriteTime;AverageWriteTime;WriteBandwidth;AbsError(write);RelError(write)
RAM;4194304;int;1048576;1;now(), lib chrono;0,006895;0,0072685;5,77E+14;0,072659118;1,51%
RAM;4194304;int;1048576;2;now(), lib chrono;0,007009;0,0072685;5,77E+14;0,072659118;1,51%
RAM;4194304;int;1048576;3;now(), lib chrono;0,007027;0,0072685;5,77E+14;0,072659118;1,51%
RAM;4194304;int;1048576;4;now(), lib chrono;0,006879;0,0072685;5,77E+14;0,072659118;1,51%
RAM;4194304;int;1048576;5;now(), lib chrono;0,007581;0,0072685;5,77E+14;0,072659118;1,51%
RAM;4194304;int;1048576;6;now(), lib chrono;0,009844;0,0072685;5,77E+14;0,072659118;1,51%
RAM;4194304;int;1048576;7;now(), lib chrono;0,006887;0,0072685;5,77E+14;0,072659118;1,51%
RAM;4194304;int;1048576;8;now(), lib chrono;0,006861;0,0072685;5,77E+14;0,072659118;1,51%
RAM;4194304;int;1048576;9;now(), lib chrono;0,006775;0,0072685;5,77E+14;0,072659118;1,51%
RAM;4194304;int;1048576;10;now(), lib chrono;0,006927;0,0072685;5,77E+14;0,072659118;1,51%
MemoryType;BlockSize;ElementType;BufferSize;LaunchNum;Timer;WriteTime;AverageWriteTime;WriteBandwidth;AbsError(write);RelError(write)
RAM;42043040;int;10510760;1;now(), lib chrono;0,071331;0,071594;5,87E+14;0,715919118;14,91%
RAM;42043040;int;10510760;2;now(), lib chrono;0,070523;0,071594;5,87E+14;0,715919118;14,91%
RAM;42043040;int;10510760;3;now(), lib chrono;0,069575;0,071594;5,87E+14;0,715919118;14,91%
RAM;42043040;int;10510760;4;now(), lib chrono;0,069507;0,071594;5,87E+14;0,715919118;14,91%
RAM;42043040;int;10510760;5;now(), lib chrono;0,069319;0,071594;5,87E+14;0,715919118;14,91%
RAM;42043040;int;10510760;6;now(), lib chrono;0,075389;0,071594;5,87E+14;0,715919118;14,91%
RAM;42043040;int;10510760;7;now(), lib chrono;0,070734;0,071594;5,87E+14;0,715919118;14,91%
